# full-matrix JOINT effect (library growth + text-IVF together; 132 cells, 104 paired episodes/cell)
cid, macro_ws1, macro_ws2, delta, p_paired
grid_vision_0@25_robot_state@75, 0.154, 0.317, +0.163, 0.0012
grid_vision_0@25_vision_1@75, 0.048, 0.163, +0.115, 0.0127
grid_vision_0@25_vision_2@75, 0.183, 0.212, +0.029, 0.7111
grid_vision_0@37_robot_state@62, 0.154, 0.308, +0.154, 0.0006
grid_vision_0@37_vision_1@62, 0.038, 0.125, +0.087, 0.0351
grid_vision_0@37_vision_2@62, 0.144, 0.317, +0.173, 0.0003
grid_vision_0@50_robot_state@50, 0.144, 0.317, +0.173, 0.0004
grid_vision_0@50_vision_1@50, 0.029, 0.115, +0.087, 0.0116
grid_vision_0@50_vision_2@50, 0.173, 0.356, +0.183, 0.0003
grid_vision_0@62_robot_state@37, 0.163, 0.317, +0.154, 0.0016
grid_vision_0@62_vision_1@37, 0.029, 0.125, +0.096, 0.0227
grid_vision_0@62_vision_2@37, 0.115, 0.240, +0.125, 0.0042
grid_vision_0@75_robot_state@25, 0.096, 0.231, +0.135, 0.0047
grid_vision_0@75_vision_1@25, 0.067, 0.125, +0.058, 0.1804
grid_vision_0@75_vision_2@25, 0.144, 0.240, +0.096, 0.0219
grid_vision_0@87_robot_state@12, 0.115, 0.240, +0.125, 0.0105
grid_vision_0@87_vision_1@12, 0.048, 0.135, +0.087, 0.0214
grid_vision_0@87_vision_2@12, 0.144, 0.183, +0.038, 0.5072
grid_vision_1@12_robot_state@87, 0.154, 0.279, +0.125, 0.0136
grid_vision_1@12_vision_2@87, 0.125, 0.250, +0.125, 0.0075
grid_vision_1@25_robot_state@75, 0.163, 0.308, +0.144, 0.0029
grid_vision_1@25_vision_2@75, 0.163, 0.231, +0.067, 0.2338
grid_vision_1@37_robot_state@62, 0.135, 0.356, +0.221, 0.0000
grid_vision_1@37_vision_2@62, 0.135, 0.250, +0.115, 0.0174
grid_vision_1@50_robot_state@50, 0.144, 0.288, +0.144, 0.0029
grid_vision_1@50_vision_2@50, 0.144, 0.250, +0.106, 0.0448
grid_vision_1@62_robot_state@37, 0.115, 0.279, +0.163, 0.0003
grid_vision_1@62_vision_2@37, 0.106, 0.231, +0.125, 0.0204
grid_vision_1@75_robot_state@25, 0.192, 0.221, +0.029, 0.6778
grid_vision_1@75_vision_2@25, 0.115, 0.260, +0.144, 0.0041
grid_vision_1@87_robot_state@12, 0.125, 0.298, +0.173, 0.0005
grid_vision_1@87_vision_2@12, 0.096, 0.260, +0.163, 0.0017
grid_vision_2@12_robot_state@87, 0.183, 0.288, +0.106, 0.0266
grid_vision_2@25_robot_state@75, 0.231, 0.327, +0.096, 0.0535
grid_vision_2@37_robot_state@62, 0.221, 0.269, +0.048, 0.3578
grid_vision_2@50_robot_state@50, 0.212, 0.288, +0.077, 0.0568
grid_vision_2@62_robot_state@37, 0.221, 0.375, +0.154, 0.0002
grid_vision_2@75_robot_state@25, 0.231, 0.298, +0.067, 0.1650
grid_vision_2@87_robot_state@12, 0.269, 0.279, +0.010, 1.0000
iso_robot_state, 0.144, 0.212, +0.067, 0.1863
iso_vision_0, 0.019, 0.096, +0.077, 0.0074
iso_vision_1, 0.019, 0.077, +0.058, 0.0685
iso_vision_2, 0.202, 0.279, +0.077, 0.1179

# per-task joint effect (mean SR over shared cells; PickPlace revival readout)
CloseBlenderLid, 0.071, 0.115, +0.044
CloseFridge, 0.475, 0.737, +0.261
CoffeeSetupMug, 0.041, 0.046, +0.006
OpenCabinet, 0.055, 0.416, +0.361
OpenDrawer, 0.426, 0.602, +0.176
OpenStandMixerHead, 0.455, 0.683, +0.227
PickPlaceCounterToCabinet, 0.016, 0.000, -0.016
PickPlaceCounterToStove, 0.012, 0.031, +0.019
PickPlaceDrawerToCounter, 0.017, 0.066, +0.049
PickPlaceSinkToCounter, 0.011, 0.006, -0.006
PickPlaceToasterToCounter, 0.145, 0.228, +0.083
SlideDishwasherRack, 0.119, 0.372, +0.253
TurnOnSinkFaucet, 0.208, 0.313, +0.105
