yaml_id,base_depth,f_FH_target,f_WS_target,inf_ratio,success_rate_pct,n_eval,n_FH,n_WS,n_MISS
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh25_ws20_quantile,1,0.25,0.2,0.626,95.0,2339,776,395,1168
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh25_ws10_quantile,1,0.25,0.1,0.6606,95.0,2367,754,197,1416
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh20_ws15_quantile,1,0.2,0.15,0.6715,98.0,2262,669,296,1297
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh20_ws10_quantile,1,0.2,0.1,0.6781,96.0,2294,687,206,1401
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh20_ws20_quantile,1,0.2,0.2,0.6818,95.0,2324,640,398,1286
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh15_ws40_quantile,1,0.15,0.4,0.6867,93.0,2332,513,870,949
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh15_ws30_quantile,1,0.15,0.3,0.6988,98.0,2262,519,649,1094
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh20_ws5_quantile,1,0.2,0.05,0.7135,97.0,2304,636,96,1572
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh15_ws20_quantile,1,0.15,0.2,0.7229,94.0,2322,538,422,1362
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh15_ws10_quantile,1,0.15,0.1,0.7243,96.0,2305,584,206,1515
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh10_ws40_quantile,1,0.1,0.4,0.7297,97.0,2236,392,850,994
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh10_ws20_quantile,1,0.1,0.2,0.7476,100.0,2190,453,399,1338
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh10_ws10_quantile,1,0.1,0.1,0.7993,98.0,2253,394,233,1626
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh10_ws15_quantile,1,0.1,0.15,0.8028,96.0,2302,378,304,1620
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh10_ws5_quantile,1,0.1,0.05,0.8229,96.0,2239,372,98,1769
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh5_ws30_quantile,1,0.05,0.3,0.8271,98.0,2198,215,660,1323
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh5_ws20_quantile,1,0.05,0.2,0.8488,99.0,2191,217,457,1517
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh5_ws15_quantile,1,0.05,0.15,0.8587,96.0,2244,230,348,1666
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh5_ws5_quantile,1,0.05,0.05,0.8945,98.0,2191,200,125,1866
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh80_ws10_quantile,3,0.8,0.1,0.2732,78.0,2702,1920,175,607
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh80_ws5_quantile,3,0.8,0.05,0.2761,83.0,2704,1946,46,712
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh70_ws15_quantile,3,0.7,0.15,0.2884,84.0,2644,1837,178,629
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh75_ws10_quantile,3,0.75,0.1,0.2941,83.0,2697,1869,139,689
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh70_ws20_quantile,3,0.7,0.2,0.3021,79.0,2724,1827,296,601
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh75_ws15_quantile,3,0.75,0.15,0.3027,81.0,2712,1831,240,641
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh75_ws5_quantile,3,0.75,0.05,0.3043,79.0,2701,1866,52,783
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh65_ws15_quantile,3,0.65,0.15,0.3084,87.0,2570,1731,186,653
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh65_ws20_quantile,3,0.65,0.2,0.3084,82.0,2736,1847,181,708
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh65_ws5_quantile,3,0.65,0.05,0.3092,90.0,2543,1744,51,748
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh55_ws15_quantile,3,0.55,0.15,0.3106,89.0,2468,1665,146,657
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh60_ws20_quantile,3,0.6,0.2,0.3114,90.0,2521,1672,256,593
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh60_ws5_quantile,3,0.6,0.05,0.3144,93.0,2471,1678,64,729
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh60_ws30_quantile,3,0.6,0.3,0.3151,83.0,2668,1736,365,567
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh70_ws5_quantile,3,0.7,0.05,0.3151,89.0,2621,1779,65,777
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh70_ws10_quantile,3,0.7,0.1,0.318,84.0,2648,1773,132,743
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh55_ws5_quantile,3,0.55,0.05,0.3251,92.0,2441,1634,54,753
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh65_ws10_quantile,3,0.65,0.1,0.3301,87.0,2637,1738,114,785
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh60_ws10_quantile,3,0.6,0.1,0.331,89.0,2545,1671,126,748
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh55_ws30_quantile,3,0.55,0.3,0.3312,91.0,2524,1583,420,521
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh55_ws20_quantile,3,0.55,0.2,0.3322,88.0,2639,1723,157,759
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh60_ws15_quantile,3,0.6,0.15,0.3335,90.0,2595,1679,202,714
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh55_ws10_quantile,3,0.55,0.1,0.334,90.0,2486,1625,123,738
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh50_ws10_quantile,3,0.5,0.1,0.3466,91.0,2563,1659,63,841
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh50_ws40_quantile,3,0.5,0.4,0.3471,80.0,2722,1668,437,617
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh45_ws20_quantile,3,0.45,0.2,0.3537,88.0,2606,1638,185,783
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh40_ws40_quantile,3,0.4,0.4,0.355,89.0,2617,1599,356,662
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh50_ws30_quantile,3,0.5,0.3,0.363,90.0,2569,1535,406,628
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh50_ws5_quantile,3,0.5,0.05,0.3708,93.0,2430,1505,96,829
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh45_ws15_quantile,3,0.45,0.15,0.3713,96.0,2383,1438,241,704
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh30_ws40_quantile,3,0.3,0.4,0.3719,93.0,2478,1468,354,656
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh35_ws20_quantile,3,0.35,0.2,0.3729,93.0,2495,1523,166,806
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh40_ws10_quantile,3,0.4,0.1,0.3768,92.0,2512,1543,90,879
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh45_ws40_quantile,3,0.45,0.4,0.3832,94.0,2418,1339,610,469
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh45_ws30_quantile,3,0.45,0.3,0.3879,93.0,2415,1364,457,594
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh30_ws10_quantile,3,0.3,0.1,0.3979,94.0,2500,1477,113,910
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh50_ws15_quantile,3,0.5,0.15,0.398,90.0,2575,1495,221,859
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh45_ws10_quantile,3,0.45,0.1,0.4007,94.0,2448,1423,176,849
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh50_ws20_quantile,3,0.5,0.2,0.4132,86.0,2556,1428,287,841
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh20_ws40_quantile,3,0.2,0.4,0.415,94.0,2467,1328,461,678
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh40_ws30_quantile,3,0.4,0.3,0.418,95.0,2435,1299,473,663
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh40_ws20_quantile,3,0.4,0.2,0.4264,96.0,2356,1275,306,775
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh45_ws5_quantile,3,0.45,0.05,0.4416,91.0,2490,1371,78,1041
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh25_ws20_quantile,3,0.25,0.2,0.4438,93.0,2528,1359,188,981
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh20_ws10_quantile,3,0.2,0.1,0.4475,93.0,2447,1320,128,999
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh15_ws20_quantile,3,0.15,0.2,0.4485,96.0,2361,1245,228,888
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh40_ws15_quantile,3,0.4,0.15,0.4636,96.0,2392,1215,272,905
