yaml_id,base_depth,f_FH_target,f_WS_target,inf_ratio,success_rate_pct,n_eval,n_FH,n_WS,n_MISS
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@25_robot_state@18__d1__fh5_ws20_quantile,1,0.05,0.2,0.8745,92.0,5517,392,1201,3924
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@25_robot_state@18__d1__anchor_allmiss,1,,,1.0,79.0,6080,0,0,6080
cp1_spatial_pool_16__grid_vision_0@62_vision_1@37__d3__fh80_ws10_quantile,3,0.8,0.1,0.3076,60.0,7494,5018,682,1794
cp1_spatial_pool_16__grid_vision_0@62_vision_1@37__d3__fh70_ws20_quantile,3,0.7,0.2,0.3248,63.0,7290,4609,1254,1427
cp1_spatial_pool_16__grid_vision_0@62_vision_1@37__d3__fh80_ws5_quantile,3,0.8,0.05,0.3763,68.0,7223,4377,511,2335
cp1_spatial_pool_16__grid_vision_0@62_vision_1@37__d3__fh60_ws20_quantile,3,0.6,0.2,0.3785,71.0,7010,4139,871,2000
cp1_spatial_pool_16__grid_vision_0@62_vision_1@37__d3__fh50_ws40_quantile,3,0.5,0.4,0.3979,71.0,7078,3781,1924,1373
cp1_spatial_pool_16__grid_vision_0@62_vision_1@37__d3__fh70_ws5_quantile,3,0.7,0.05,0.4003,80.0,6467,3780,394,2293
cp1_spatial_pool_16__grid_vision_0@62_vision_1@37__d3__fh60_ws5_quantile,3,0.6,0.05,0.4095,64.0,7351,4285,222,2844
cp1_spatial_pool_16__grid_vision_0@62_vision_1@37__d3__fh70_ws10_quantile,3,0.7,0.1,0.4401,73.0,6825,3627,777,2421
cp1_spatial_pool_16__grid_vision_0@62_vision_1@37__d3__fh40_ws10_quantile,3,0.4,0.1,0.4528,75.0,6716,3575,400,2741
cp1_spatial_pool_16__grid_vision_0@62_vision_1@37__d3__fh60_ws30_quantile,3,0.6,0.3,0.4533,75.0,6686,3071,2337,1278
cp1_spatial_pool_16__grid_vision_0@62_vision_1@37__d3__fh40_ws5_quantile,3,0.4,0.05,0.4598,71.0,6832,3645,183,3004
cp1_spatial_pool_16__grid_vision_0@62_vision_1@37__d3__fh50_ws20_quantile,3,0.5,0.2,0.4609,61.0,7363,3793,706,2864
cp1_spatial_pool_16__grid_vision_0@62_vision_1@37__d3__fh40_ws30_quantile,3,0.4,0.3,0.4624,72.0,6852,3388,1182,2282
cp1_spatial_pool_16__grid_vision_0@62_vision_1@37__d3__fh30_ws40_quantile,3,0.3,0.4,0.4763,72.0,6729,3138,1543,2048
cp1_spatial_pool_16__grid_vision_0@62_vision_1@37__d3__fh60_ws10_quantile,3,0.6,0.1,0.4882,78.0,6580,3223,578,2779
cp1_spatial_pool_16__grid_vision_0@62_vision_1@37__d3__fh50_ws30_quantile,3,0.5,0.3,0.5065,78.0,6419,2773,1578,2068
cp1_spatial_pool_16__grid_vision_0@62_vision_1@37__d3__fh30_ws20_quantile,3,0.3,0.2,0.5103,76.0,6506,2972,857,2677
cp1_spatial_pool_16__grid_vision_0@62_vision_1@37__d3__fh25_ws30_quantile,3,0.25,0.3,0.539,75.0,6647,2710,1418,2519
cp1_spatial_pool_16__grid_vision_0@62_vision_1@37__d3__fh50_ws10_quantile,3,0.5,0.1,0.539,82.0,6240,2774,411,3055
cp1_spatial_pool_16__grid_vision_0@62_vision_1@37__d3__fh40_ws40_quantile,3,0.4,0.4,0.5393,77.0,6430,2459,2013,1958
cp1_spatial_pool_16__grid_vision_0@62_vision_1@37__d3__fh20_ws40_quantile,3,0.2,0.4,0.5495,74.0,6561,2498,1830,2233
cp1_spatial_pool_16__grid_vision_0@62_vision_1@37__d3__fh50_ws5_quantile,3,0.5,0.05,0.5586,81.0,6349,2751,207,3391
cp1_spatial_pool_16__grid_vision_0@62_vision_1@37__d3__fh25_ws5_quantile,3,0.25,0.05,0.5663,77.0,6530,2755,309,3466
