label,repeat,query_id,ms
cross_0.995,0,episode_0025_20260421_150833_216666:4,0.618833
cross_0.995,0,episode_0038_20260421_151615_368946:27,0.722633
cross_0.995,0,episode_0018_20260421_150514_387668:6,1.191179
cross_0.995,0,episode_0031_20260421_151130_944018:26,0.812921
cross_0.995,0,episode_0011_20260421_150015_983808:13,1.382464
cross_0.995,0,episode_0008_20260421_145723_705415:11,0.679821
cross_0.995,0,episode_0014_20260421_155029_148974:9,1.304164
cross_0.995,0,episode_0016_20260421_150341_358525:43,1.784779
cross_0.995,0,episode_0046_20260421_152356_583015:13,0.972585
cross_0.995,0,episode_0014_20260421_150234_937358:53,1.305705
cross_0.995,0,episode_0006_20260421_145620_818834:27,0.710236
cross_0.995,0,episode_0017_20260421_150415_357328:15,1.062101
cross_0.995,0,episode_0014_20260421_155029_148974:40,0.759763
cross_0.995,0,episode_0007_20260421_145652_045135:34,0.754487
cross_0.995,0,episode_0030_20260421_151104_740343:22,1.045895
cross_0.995,0,episode_0026_20260421_150856_396048:34,0.667374
cross_0.995,0,episode_0007_20260421_145652_045135:1,0.782626
cross_0.995,0,episode_0000_20260421_145256_951882:13,0.863793
cross_0.995,0,episode_0046_20260421_152356_583015:48,1.117538
cross_0.995,0,episode_0022_20260421_150717_548811:40,1.00051
cross_0.995,0,episode_0041_20260421_151903_896858:5,2.187634
cross_0.995,0,episode_0042_20260421_152010_071054:62,2.24604
cross_0.995,0,episode_0035_20260421_151345_521435:26,0.990337
cross_0.995,0,episode_0005_20260421_145548_769987:23,0.863005
cross_0.995,0,episode_0040_20260421_151756_437258:38,1.41526
cross_0.995,0,episode_0004_20260421_145514_975870:7,0.83231
cross_0.995,0,episode_0008_20260421_145723_705415:41,0.641079
cross_0.995,0,episode_0021_20260421_150651_911856:7,1.01928
cross_0.995,0,episode_0007_20260421_145652_045135:31,0.666085
cross_0.995,0,episode_0034_20260421_151316_981830:17,0.874958
cross_0.995,0,episode_0026_20260421_150856_396048:14,0.678393
cross_0.995,0,episode_0020_20260421_150623_961895:30,0.783582
cross_0.995,0,episode_0042_20260421_152010_071054:23,1.552499
cross_0.997,0,episode_0019_20260421_150552_473180:24,1.583254
cross_0.997,0,episode_0018_20260421_155250_742134:22,1.588498
cross_0.997,0,episode_0049_20260421_152610_845700:50,4.616393
cross_0.997,0,episode_0014_20260421_150234_937358:10,1.774638
cross_0.997,0,episode_0038_20260421_151615_368946:50,0.943107
cross_0.997,0,episode_0027_20260421_150917_326437:0,0.835148
cross_0.997,0,episode_0013_20260421_150147_027824:5,1.511873
cross_0.997,0,episode_0042_20260421_152010_071054:57,1.829488
cross_0.997,0,episode_0006_20260421_145620_818834:31,1.074424
cross_0.997,0,episode_0031_20260421_151130_944018:46,1.066765
cross_0.997,0,episode_0041_20260421_151903_896858:66,1.759398
cross_0.997,0,episode_0041_20260421_151903_896858:72,2.017636
cross_0.997,0,episode_0045_20260421_152322_258450:32,1.431717
cross_0.997,0,episode_0030_20260421_151104_740343:24,1.898483
cross_0.997,0,episode_0004_20260421_145514_975870:27,1.170875
cross_0.997,0,episode_0016_20260421_155154_891362:71,1.65716
cross_0.997,0,episode_0001_20260421_145332_810413:11,1.132589
cross_0.997,0,episode_0045_20260421_152322_258450:23,1.324977
cross_0.997,0,episode_0030_20260421_151104_740343:25,1.118456
cross_0.997,0,episode_0006_20260421_145620_818834:29,0.984986
cross_0.997,0,episode_0012_20260421_150109_113391:3,1.527713
cross_0.997,0,episode_0026_20260421_150856_396048:3,0.807457
cross_0.997,0,episode_0004_20260421_154909_939096:11,1.456513
cross_0.997,0,episode_0047_20260421_152429_961806:41,1.97844
cross_0.997,0,episode_0019_20260421_150552_473180:43,2.137158
cross_0.997,0,episode_0006_20260421_145620_818834:16,1.074746
cross_0.997,0,episode_0017_20260421_150415_357328:0,1.512977
cross_0.997,0,episode_0003_20260421_145442_230258:5,1.163036
cross_0.997,0,episode_0000_20260421_145256_951882:44,1.085811
cross_0.997,0,episode_0039_20260421_151648_760002:44,0.924323
cross_0.997,0,episode_0019_20260421_150552_473180:19,1.502001
cross_0.997,0,episode_0001_20260421_145332_810413:5,1.413782
cross_0.997,0,episode_0041_20260421_151903_896858:44,2.261604
cross_0.997,0,episode_0013_20260421_150147_027824:36,2.127479
cross_0.997,0,episode_0001_20260421_145332_810413:37,1.412456
cross_0.997,0,episode_0014_20260421_150234_937358:40,2.461417
cross_0.997,0,episode_0029_20260421_151037_202698:9,1.11843
cross_0.997,0,episode_0018_20260421_155250_742134:17,1.673305
cross_0.997,0,episode_0018_20260421_155250_742134:43,1.59632
cross_0.997,0,episode_0026_20260421_150856_396048:6,1.041013
cross_0.997,0,episode_0045_20260421_152322_258450:47,2.053741
cross_0.997,0,episode_0032_20260421_151156_252142:31,1.695875
cross_0.997,0,episode_0032_20260421_151156_252142:33,1.142442
cross_0.997,0,episode_0031_20260421_151130_944018:9,1.339144
cross_0.997,0,episode_0014_20260421_155029_148974:3,0.997955
cross_0.997,0,episode_0031_20260421_151130_944018:3,1.073926
cross_0.997,0,episode_0040_20260421_151756_437258:60,2.268933
cross_0.997,0,episode_0006_20260421_145620_818834:1,1.49323
cross_0.997,0,episode_0005_20260421_145548_769987:11,1.223318
cross_0.997,0,episode_0035_20260421_151345_521435:5,0.925898
cross_0.997,0,episode_0038_20260421_151615_368946:49,0.85828
