label,repeat,query_id,ms
cross_0.98,0,episode_0032_20260410_011958_314386:3,0.951915
cross_0.98,0,episode_0024_20260410_011654_131430:5,1.302059
cross_0.98,0,episode_0030_20260410_011910_031319:5,1.092357
cross_0.98,0,episode_0044_20260410_012440_275668:1,0.841307
cross_0.975,0,episode_0028_20260410_011829_055003:11,1.113609
cross_0.975,0,episode_0030_20260410_011910_031319:17,0.954146
cross_0.975,0,episode_0035_20260410_012102_164484:16,1.214908
cross_0.975,0,episode_0005_20260410_011022_801344:10,1.065319
cross_0.975,0,episode_0037_20260410_012148_210072:14,0.930745
cross_0.975,0,episode_0023_20260410_011629_901435:0,1.642718
cross_0.975,0,episode_0006_20260410_011042_393597:19,1.569322
cross_0.975,0,episode_0045_20260410_012503_265735:3,1.44841
cross_0.975,0,episode_0016_20260410_011401_521914:1,1.074046
cross_0.975,0,episode_0035_20260410_012102_164484:21,1.125526
cross_0.975,0,episode_0041_20260410_012346_185785:5,0.83917
cross_0.975,0,episode_0041_20260410_012346_185785:6,0.868671
cross_0.975,0,episode_0041_20260410_012346_185785:9,0.779356
cross_0.975,0,episode_0035_20260410_012102_164484:12,1.018214
cross_0.975,0,episode_0000_20260410_013433_002633:2,0.912931
cross_0.975,0,episode_0028_20260410_011829_055003:5,0.739905
cross_0.975,0,episode_0015_20260410_011344_869409:8,0.962229
cross_0.975,0,episode_0043_20260410_012421_441671:14,1.059761
cross_0.975,0,episode_0023_20260410_011629_901435:9,1.184473
cross_0.975,0,episode_0016_20260410_011401_521914:2,0.909398
cross_0.975,0,episode_0010_20260410_011209_792025:20,0.881441
cross_0.975,0,episode_0024_20260410_011654_131430:11,0.74921
cross_0.975,0,episode_0019_20260410_011451_488353:14,0.737258
cross_0.975,0,episode_0046_20260410_012526_676266:19,0.732316
cross_0.975,0,episode_0026_20260410_011732_851293:10,0.737738
cross_0.975,0,episode_0047_20260410_012550_633036:8,1.037287
cross_0.975,0,episode_0029_20260410_011847_472194:12,0.753496
cross_0.975,0,episode_0004_20260410_011001_080633:1,0.73775
cross_0.975,0,episode_0017_20260410_011417_292749:11,0.772893
cross_0.975,0,episode_0038_20260410_012213_950266:23,0.801281
cross_0.975,0,episode_0028_20260410_011829_055003:14,0.732981
cross_0.975,0,episode_0046_20260410_012526_676266:24,0.624007
cross_0.975,0,episode_0039_20260410_012242_511766:23,0.846951
cross_0.975,0,episode_0009_20260410_011147_027725:15,0.799341
cross_0.975,0,episode_0019_20260410_011451_488353:0,0.644222
cross_0.975,0,episode_0005_20260410_011022_801344:18,0.634257
cross_0.975,0,episode_0023_20260410_011629_901435:1,0.826146
cross_0.975,0,episode_0020_20260410_011517_357608:21,1.035214
cross_0.975,0,episode_0030_20260410_011910_031319:4,1.008843
cross_0.975,0,episode_0031_20260410_011933_301436:8,1.02974
cross_0.975,0,episode_0043_20260410_012421_441671:5,0.980305
cross_0.975,0,episode_0023_20260410_011629_901435:23,1.044862
cross_0.975,0,episode_0023_20260410_011629_901435:20,1.077499
cross_0.975,0,episode_0032_20260410_011958_314386:9,1.014252
cross_0.975,0,episode_0008_20260410_011125_742216:16,0.883465
cross_0.975,0,episode_0032_20260410_011958_314386:11,0.883614
cross_0.975,0,episode_0039_20260410_012242_511766:15,1.319147
